================================================================================
 科室分诊 学习率对照   2026-09-18 08:39:26
 锚点: runs/formal（rank 16, lr 2e-4, 12000 条 × 3 epoch）
 对照: lr 0.0008 0.0016 0.0032
================================================================================

▶ lr_8e4  (lr=0.0008)
MODE=formal rank=16 trainable=393216 train=12000 val=600 initial_val_loss=3.098687
validation step=80 val_loss=0.228399 improved=True
epoch=1/3 batch=180/2250 loss=0.200968 lr=0.00315476
epoch=1/3 batch=200/2250 loss=0.227997 lr=0.00314422
epoch=1/3 batch=220/2250 loss=0.190702 lr=0.00313259
epoch=1/3 batch=240/2250 loss=0.122854 lr=0.00311990
validation step=120 val_loss=0.188237 improved=True
epoch=1/3 batch=260/2250 loss=0.099692 lr=0.00310615
epoch=1/3 batch=280/2250 loss=0.185093 lr=0.00309135
epoch=1/3 batch=300/2250 loss=0.166786 lr=0.00307551
epoch=1/3 batch=320/2250 loss=0.174321 lr=0.00305864
validation step=160 val_loss=0.208529 improved=False
epoch=1/3 batch=340/2250 loss=0.098167 lr=0.00304076
epoch=1/3 batch=360/2250 loss=0.168415 lr=0.00302188
epoch=1/3 batch=380/2250 loss=0.172112 lr=0.00300202
epoch=1/3 batch=400/2250 loss=0.116167 lr=0.00298119
validation step=200 val_loss=0.183573 improved=True
epoch=1/3 batch=420/2250 loss=0.166732 lr=0.00295941
epoch=1/3 batch=440/2250 loss=0.155382 lr=0.00293669
epoch=1/3 batch=460/2250 loss=0.270821 lr=0.00291305
epoch=1/3 batch=480/2250 loss=0.293894 lr=0.00288852
validation step=240 val_loss=0.194227 improved=False
epoch=1/3 batch=500/2250 loss=0.076810 lr=0.00286310
epoch=1/3 batch=520/2250 loss=0.141694 lr=0.00283683
epoch=1/3 batch=540/2250 loss=0.145138 lr=0.00280971
epoch=1/3 batch=560/2250 loss=0.068226 lr=0.00278178
